,name,country,wikiurl,category,period,born,died
0,thun süd,switzerland,https://de.wikipedia.org/wiki/Thun?action=raw,ort in der schweiz,,,
1,hohmad,switzerland,https://en.wikipedia.org/wiki/Hohmad?action=raw,mountain,,,
3,europa,switzerland,https://de.wikipedia.org/wiki/Europa?action=raw,kontinent,,,
7,eiger,switzerland,https://de.wikipedia.org/wiki/Eiger?action=raw,berg,,,
8,mittlere,switzerland,https://fr.wikipedia.org/wiki/Mittlere_Br%C3%BCcke?action=raw,pont,,,
9,schulhaus,switzerland,https://fr.wikipedia.org/wiki/Weiden_in_der_Oberpfalz?action=raw,commune d'allemagne,,,
10,neu,switzerland,https://fr.wikipedia.org/wiki/Neu!?action=raw,musique (artiste),,,
11,bönig,switzerland,https://de.wikipedia.org/wiki/Winfried_B%C3%B6nig?action=raw,deutscher organist und hochschullehrer,,1959,
14,unterseen,switzerland,https://de.wikipedia.org/wiki/Unterseen?action=raw,ort in der schweiz,,,
15,hasel,switzerland,https://de.wikipedia.org/wiki/Gemeine_Hasel?action=raw,inhaltsstoffe,,,
16,garten,switzerland,https://en.wikipedia.org/wiki/Ina_Garten?action=raw,chef ,,1948,
17,ruhe,switzerland,https://fr.wikipedia.org/wiki/Rune?action=raw,système d'écriture,,,
18,dorf,switzerland,https://fr.wikipedia.org/wiki/Stephen_Dorff?action=raw,cinéma (personnalité),,1973,
19,sunne,switzerland,https://de.wikipedia.org/wiki/Sunn_O)))?action=raw,band,,,
22,bellevue,switzerland,https://fr.wikipedia.org/wiki/Bellevue?action=raw,commune de suisse,,,
23,senggi,switzerland,https://fr.wikipedia.org/wiki/Edgar_Sengier?action=raw,biographie2,,,
26,wilderswil,switzerland,https://de.wikipedia.org/wiki/Wilderswil?action=raw,ort in der schweiz,,,
28,fitzer,switzerland,https://de.wikipedia.org/wiki/Ulrike_Fitzer?action=raw,deutsche militärpilotin und offizierin,,1982,
31,hochfeld,switzerland,https://de.wikipedia.org/wiki/Hochfeld?action=raw,duisburger stadtteil,,,
32,schürrain,switzerland,https://fr.wikipedia.org/wiki/Schirrhein?action=raw,commune de france,,,
33,bern,switzerland,https://de.wikipedia.org/wiki/Bern?action=raw,ort in der schweiz,,,
34,speicher,switzerland,https://fr.wikipedia.org/wiki/Georges_Speicher?action=raw,cycliste,,,
36,sentiero di gandria,switzerland,https://de.wikipedia.org/wiki/Gandria?action=raw,quartier von lugano,,,
37,boden,switzerland,https://fr.wikipedia.org/wiki/Boden?action=raw,localité de suède,,,
38,ahorn,switzerland,https://de.wikipedia.org/wiki/Ahorne?action=raw,ahorne,,,
39,altstetter,switzerland,https://de.wikipedia.org/wiki/Altstetten?action=raw,quartier von zürich,,,
40,läng,switzerland,https://fr.wikipedia.org/wiki/Lang_Lang?action=raw,musique (artiste),,1982,
41,pestalozzi,switzerland,https://de.wikipedia.org/wiki/Johann_Heinrich_Pestalozzi?action=raw,schweizer pädagoge,,1746,1827
42,schützenmatt,switzerland,https://fr.wikipedia.org/wiki/Sch%C3%BCtzenmatte?action=raw,stade,,,
44,freienhof,switzerland,https://fr.wikipedia.org/wiki/Thoune?action=raw,commune de suisse,,,
46,aarefeld,switzerland,https://de.wikipedia.org/wiki/Thun?action=raw,ort in der schweiz,,,
49,schlossberg,switzerland,https://en.wikipedia.org/wiki/Jack_Schlossberg?action=raw,person ,,1993,
50,kirchtreppe,switzerland,https://de.wikipedia.org/wiki/Solingen?action=raw,gemeinde in deutschland,,,
54,bach,switzerland,https://fr.wikipedia.org/wiki/Jean-S%C3%A9bastien_Bach?action=raw,musique classique (personnalité),,1685,1750
56,stadtbach,switzerland,https://fr.wikipedia.org/wiki/Weiden_in_der_Oberpfalz?action=raw,commune d'allemagne,,,
59,31 décembre,switzerland,https://de.wikipedia.org/wiki/Benjamin_Pavard?action=raw,französischer fußballspieler,,1996,
60,schibenertor,switzerland,https://en.wikipedia.org/wiki/Appenzell%E2%80%93St._Gallen%E2%80%93Trogen_railway?action=raw,rail line,,,
61,zentrumsplatz,switzerland,https://de.wikipedia.org/wiki/W%C3%BCrmersheim?action=raw,ortsteil einer gemeinde in deutschland,1974,,
62,brünnen,switzerland,https://de.wikipedia.org/wiki/Br%C3%BCnn?action=raw,ort in tschechien,,,
64,guisan,switzerland,https://de.wikipedia.org/wiki/Henri_Guisan?action=raw,general der schweizer armee während des zweiten weltkriegs,,1874,1960
68,gutenberg,switzerland,https://de.wikipedia.org/wiki/Johannes_Gutenberg?action=raw,erfinder des europäischen buchdrucks mit beweglichen metalllettern,,1395,1468
71,kugel,switzerland,https://en.wikipedia.org/wiki/Kugel?action=raw,prepared food,,,
72,schmied,switzerland,https://en.wikipedia.org/wiki/Schmied?action=raw,surname,,,
73,vadian,switzerland,https://de.wikipedia.org/wiki/Joachim_Vadian?action=raw,"schweizer humanist, mediziner, gelehrter, reformator und bürgermeister von st. gallen",,1484,1551
74,st. leonhard-,switzerland,https://en.wikipedia.org/wiki/Leonard_of_Noblac?action=raw,saint,,,
76,hörnli,switzerland,https://de.wikipedia.org/wiki/H%C3%B6rnli_(Berg)?action=raw,berg,,,
77,gotthard,switzerland,https://fr.wikipedia.org/wiki/Tunnel_routier_du_Saint-Gothard?action=raw,tunnel,,,
79,lucomagno,switzerland,https://de.wikipedia.org/wiki/Lukmanierpass?action=raw,pass,1877,,
80,san gottardo,switzerland,https://fr.wikipedia.org/wiki/%C3%89glise_San_Gottardo_in_Corte?action=raw,monument,,,
81,bahn,switzerland,https://fr.wikipedia.org/wiki/Deutsche_Bahn?action=raw,compagnie ferroviaire,,,
82,belp,switzerland,https://de.wikipedia.org/wiki/Belp?action=raw,ort in der schweiz,,,
83,kiesen,switzerland,https://fr.wikipedia.org/wiki/Kiesen?action=raw,commune de suisse,,,
84,bahnhof,switzerland,"https://fr.wikipedia.org/wiki/Moi,_Christiane_F.,_13_ans,_drogu%C3%A9e,_prostitu%C3%A9e%E2%80%A6_(livre)?action=raw",livre,1981,,
86,wimmis,switzerland,https://de.wikipedia.org/wiki/Wimmis?action=raw,ort in der schweiz,,,
87,spiez,switzerland,https://de.wikipedia.org/wiki/Spiez?action=raw,ort in der schweiz,,,
89,spiezwiler,switzerland,https://de.wikipedia.org/wiki/Spiez?action=raw,ort in der schweiz,,,
90,kuh,switzerland,https://fr.wikipedia.org/wiki/KAI_Surion?action=raw,hélicoptère,,,
91,werd,switzerland,https://de.wikipedia.org/wiki/Werder_Bremen?action=raw,fußballunternehmen,,,
92,bachtel,switzerland,https://de.wikipedia.org/wiki/Bachtel?action=raw,berg,,,
93,zürcher,switzerland,https://fr.wikipedia.org/wiki/Z%C3%BCrcher_Schlittschuh_Club_Lions?action=raw,équipe de hockey sur glace,1930,,
94,stäffeli,switzerland,https://fr.wikipedia.org/wiki/Engelberg?action=raw,commune de suisse,,,
95,strahlegg,switzerland,https://fr.wikipedia.org/wiki/Peter_Bohren?action=raw,"alpiniste, grimpeur",,1822,1882
97,hohfurri,switzerland,https://de.wikipedia.org/wiki/Oberfeld_(Winterthur)?action=raw,quartier von winterthur,,,
100,lang,switzerland,https://fr.wikipedia.org/wiki/Lang_Lang?action=raw,musique (artiste),,1982,
101,sonnegg,switzerland,https://en.wikipedia.org/wiki/Sonning?action=raw,uk place,,,
104,trauben,switzerland,https://fr.wikipedia.org/wiki/Ritter_Sport?action=raw,société,,,
105,halden,switzerland,https://fr.wikipedia.org/wiki/Halden?action=raw,commune de norvège,,,
107,frohberg,switzerland,https://de.wikipedia.org/wiki/Fred_Frohberg?action=raw,deutscher schlagersänger,,1925,2000
108,habsburg,switzerland,https://en.wikipedia.org/wiki/House_of_Habsburg?action=raw,family,,,
109,büchli,switzerland,https://en.wikipedia.org/wiki/Matthijs_B%C3%BCchli?action=raw,cyclist,,1992,
111,felsenhof,switzerland,https://de.wikipedia.org/wiki/Josef_Lutschounig_von_Felsenhof?action=raw,offizier der österreichisch-ungarischen armee,,1863,1923
112,maienried,switzerland,https://de.wikipedia.org/wiki/Taggenberg?action=raw,quartier von winterthur,,,
113,eichen,switzerland,https://de.wikipedia.org/wiki/Eichen?action=raw,eichen,,,
114,lärchen,switzerland,https://de.wikipedia.org/wiki/L%C3%A4rchen?action=raw,lärchen,,,
115,tägelmoos,switzerland,https://de.wikipedia.org/wiki/Waser_(Winterthur)?action=raw,quartier von winterthur,,,
117,endliker,switzerland,https://en.wikipedia.org/wiki/Stephan_Endlicher?action=raw,scientist,,1804,1849
118,korn,switzerland,https://de.wikipedia.org/wiki/Korn_(Band)?action=raw,band,,,
120,kreuz,switzerland,https://fr.wikipedia.org/wiki/Croix_de_fer?action=raw,médaille militaire,,,
121,brühlberg,switzerland,https://de.wikipedia.org/wiki/Neuwiesen?action=raw,quartier von winterthur,,,
122,meisen,switzerland,https://de.wikipedia.org/wiki/Meisen?action=raw,meisen,,,
123,bergacker,switzerland,https://en.wikipedia.org/wiki/Gotthard_Heinrici?action=raw,military person,,1886,1971
124,technologie,switzerland,https://en.wikipedia.org/wiki/Technologie?action=raw,album,,,
125,bullinger,switzerland,https://de.wikipedia.org/wiki/Heinrich_Bullinger?action=raw,schweizer reformator und antistes in zürich,,1504,1575
128,palm,switzerland,https://it.wikipedia.org/wiki/Palm_Islands?action=raw,isola,,,
129,talgut,switzerland,https://fr.wikipedia.org/wiki/Talbot?action=raw,société,,,
130,vogelsang,switzerland,https://fr.wikipedia.org/wiki/Ordensburg_Vogelsang?action=raw,base militaire,1935,,
131,hochwacht,switzerland,https://fr.wikipedia.org/wiki/Hohwacht_(Ostsee)?action=raw,commune d'allemagne,,,
132,gässli,switzerland,https://de.wikipedia.org/wiki/Giacun_Caduff?action=raw,schweizer regisseur und produzent,,1979,
133,arberg,switzerland,https://de.wikipedia.org/wiki/Arberg?action=raw,gemeinde in deutschland,,,
134,ulmen,switzerland,https://de.wikipedia.org/wiki/Ulmen?action=raw,ulmen,,,
136,brisi,switzerland,https://en.wikipedia.org/wiki/Brisi?action=raw,mountain,,,
138,riedhof,switzerland,https://de.wikipedia.org/wiki/Kilian_Riedhof?action=raw,deutscher filmregisseur und drehbuchautor,,1971,
139,stollen,switzerland,https://en.wikipedia.org/wiki/Stollen?action=raw,prepared food,,,
142,auwiesen,switzerland,https://fr.wikipedia.org/wiki/Marcel_Callo?action=raw,saint,,,
143,salomon-bleuler,switzerland,https://de.wikipedia.org/wiki/Salomon_Bleuler?action=raw,"schweizer politiker, redakteur, verleger und theologe",,1829,1886
145,hündler,switzerland,https://fr.wikipedia.org/wiki/Disco?action=raw,musique (style)  ,,,
146,einfang,switzerland,https://fr.wikipedia.org/wiki/SC_Pfullendorf?action=raw,club de football,,,
149,giesser,switzerland,https://de.wikipedia.org/wiki/Gie%C3%9Fen?action=raw,gemeinde in deutschland,,,
151,rapp,switzerland,https://fr.wikipedia.org/wiki/Bernard_Rapp?action=raw,biographie2,,,
154,scheidegg,switzerland,https://de.wikipedia.org/wiki/Scheidegg?action=raw,gemeinde in deutschland,,,
155,wülflinger,switzerland,https://de.wikipedia.org/wiki/W%C3%BClflingen?action=raw,stadtkreis von winterthur,,,
156,theodor-kirchner-,switzerland,https://de.wikipedia.org/wiki/Theodor_Kirchner?action=raw,"deutscher komponist, dirigent, organist und pianist",,1823,1903
158,tössufer,switzerland,https://de.wikipedia.org/wiki/T%C3%B6ss_(Fluss)?action=raw,fluss,,,
160,baumschul,switzerland,https://en.wikipedia.org/wiki/Ulmus_%27Turkestanica%27?action=raw,cultivar,,,
161,zypressen,switzerland,https://de.wikipedia.org/wiki/Zypressen?action=raw,zypressen,,,
162,schneeball,switzerland,https://de.wikipedia.org/wiki/Gew%C3%B6hnlicher_Schneeball?action=raw,gewöhnlicher schneeball,,,
163,zwingli,switzerland,https://de.wikipedia.org/wiki/Huldrych_Zwingli?action=raw,"schweizer theologe, gründer der reformierten kirche zürichs",,1484,1531
164,bergblumen,switzerland,https://fr.wikipedia.org/wiki/Hilde_Wolter?action=raw,biographie2,,,
167,kehracker,switzerland,https://de.wikipedia.org/wiki/Rudolf_Bruchli_(%E2%80%A0_1493)?action=raw,schultheiss von winterthur,,1430,1493
173,salzlager,switzerland,https://de.wikipedia.org/wiki/Kaliwerk_Gl%C3%BCckauf_Sondershausen?action=raw,bergwerk,,,
176,neuwiesen,switzerland,https://de.wikipedia.org/wiki/Neuwiese_(Elsterheide)?action=raw,ortsteil einer gemeinde in deutschland,1995,,
178,schwerzenbach,switzerland,https://de.wikipedia.org/wiki/Schwerzenbach?action=raw,ort in der schweiz,,,
180,schützen,switzerland,https://fr.wikipedia.org/wiki/Massacre_de_Deutsch_Sch%C3%BCtzen-Eisenberg?action=raw,massacre,1945,,
181,eduard-steiner-,switzerland,https://de.wikipedia.org/wiki/Wiener_Riesenrad?action=raw,hohes gebäude,,,
182,eichbühl,switzerland,https://fr.wikipedia.org/wiki/Tramway_Steffisburg%E2%80%93Thun%E2%80%93Interlaken?action=raw,ligne ferroviaire,,,
183,laubegg,switzerland,https://fr.wikipedia.org/wiki/Ch%C3%A2tellenie_d%27Obersimmental?action=raw,ancienne entité territoriale,1386,,
184,floren,switzerland,https://fr.wikipedia.org/wiki/Florennes?action=raw,commune de belgique,,,
187,elch,switzerland,https://de.wikipedia.org/wiki/Elch?action=raw,elch,,,
190,schleife,switzerland,https://fr.wikipedia.org/wiki/Schleife?action=raw,commune d'allemagne,,,
191,merkur,switzerland,https://en.wikipedia.org/wiki/Merkur?action=raw,company,1985,,
192,jakob,switzerland,https://fr.wikipedia.org/wiki/Jakob_Fuglsang?action=raw,cycliste,,,
193,reismühle,switzerland,https://fr.wikipedia.org/wiki/Gauting?action=raw,commune d'allemagne,,,
194,friedhof,switzerland,https://fr.wikipedia.org/wiki/Friedhof?action=raw,localité du luxembourg,,,
195,schlossmühle,switzerland,https://fr.wikipedia.org/wiki/Romanswiller?action=raw,commune de france,,,
196,tössfeld,switzerland,https://de.wikipedia.org/wiki/FC_T%C3%B6ssfeld?action=raw,fußballklub,,,
198,taggenberg,switzerland,https://de.wikipedia.org/wiki/Taggenberg?action=raw,quartier von winterthur,,,
199,kirschen,switzerland,https://fr.wikipedia.org/wiki/Andr%C3%A9_Kirschen?action=raw,biographie2,,,
200,aprikosen,switzerland,https://de.wikipedia.org/wiki/Aprikose?action=raw,inhaltsstoffe,,,
201,langwiesen,switzerland,https://en.wikipedia.org/wiki/Langwies?action=raw,swiss town,,,
202,wölfflin,switzerland,https://de.wikipedia.org/wiki/Heinrich_W%C3%B6lfflin?action=raw,schweizer kunsthistoriker,,1864,1945
204,buchfinken,switzerland,https://de.wikipedia.org/wiki/Buchfink?action=raw,buchfink,,,
205,kurz,switzerland,https://de.wikipedia.org/wiki/Sebastian_Kurz?action=raw,"österreichischer politiker (övp), bundesminister und parteiobmann",,1986,
206,turmhalden,switzerland,https://de.wikipedia.org/wiki/Winturm?action=raw,burg,,,
208,stockemerberg,switzerland,https://de.wikipedia.org/wiki/Enzen_(Eifel)?action=raw,gemeinde in deutschland,,,
210,etzberg,switzerland,"https://en.wikipedia.org/wiki/Ottenbach,_Baden-W%C3%BCrttemberg?action=raw",german location,,,
215,seiden,switzerland,https://de.wikipedia.org/wiki/Seide?action=raw,faser,,,
216,frümsel,switzerland,https://de.wikipedia.org/wiki/Churfirsten?action=raw,berg,,,
218,heiligberg,switzerland,https://en.wikipedia.org/wiki/Heiligenberg?action=raw,german location,,,
222,waldhof,switzerland,https://de.wikipedia.org/wiki/SV_Waldhof_Mannheim?action=raw,fußballunternehmen,,,
223,kreuzegg,switzerland,https://en.wikipedia.org/wiki/Kreuzberg?action=raw,german location,,,
224,reh,switzerland,https://de.wikipedia.org/wiki/Reh?action=raw,reh,,,
225,sonnenberg,switzerland,https://fr.wikipedia.org/wiki/Tunnel_du_Sonnenberg?action=raw,tunnel,,,
226,corrodi,switzerland,https://de.wikipedia.org/wiki/Johann_Eugen_Corrodi?action=raw,schweizer offizier,,1897,1980
228,waldegg,switzerland,https://de.wikipedia.org/wiki/Waldegg?action=raw,gemeinde in österreich,,,
229,bäumli,switzerland,https://fr.wikipedia.org/wiki/Ibiza?action=raw,île,,,
231,selun,switzerland,https://de.wikipedia.org/wiki/Churfirsten?action=raw,berg,,,
233,eulach,switzerland,https://de.wikipedia.org/wiki/Eulach?action=raw,fluss,,,
234,rosinli,switzerland,https://de.wikipedia.org/wiki/Gioachino_Rossini?action=raw,italienischer komponist,,1792,1868
237,sulzer,switzerland,https://de.wikipedia.org/wiki/Sulzer_AG?action=raw,unternehmen,1914,,
238,rudolf-diesel-,switzerland,https://de.wikipedia.org/wiki/Rudolf_Diesel?action=raw,deutscher ingenieur und der erfinder des dieselmotors,,1858,1913
239,hinterholz,switzerland,https://de.wikipedia.org/wiki/Hinterholz_8?action=raw,film,,,
241,tannen,switzerland,https://de.wikipedia.org/wiki/Tannen?action=raw,tannen,,,
242,oberfeld,switzerland,https://fr.wikipedia.org/wiki/Casimir_Oberfeld?action=raw,biographie2,,,
243,eichliacker,switzerland,https://de.wikipedia.org/wiki/Eichliacker?action=raw,quartier von winterthur,,,
244,ohrbühl,switzerland,https://de.wikipedia.org/wiki/Winterthur?action=raw,ort in der schweiz,,,
245,grenz,switzerland,https://en.wikipedia.org/wiki/Stanley_Grenz?action=raw,person,,1950,2005
246,morgentau,switzerland,https://fr.wikipedia.org/wiki/Boys_Noize?action=raw,musique (artiste),,1982,
247,wart,switzerland,https://en.wikipedia.org/wiki/Wart?action=raw,medical condition (new),,,
248,eisweiher,switzerland,https://en.wikipedia.org/wiki/2017%E2%80%9318_Coupe_de_France?action=raw,football tournament season,,,
249,tödi,switzerland,https://de.wikipedia.org/wiki/T%C3%B6di?action=raw,berg,,,
250,reut,switzerland,https://de.wikipedia.org/wiki/Reut?action=raw,gemeinde in deutschland,,,
251,nelken,switzerland,https://de.wikipedia.org/wiki/Nelken?action=raw,nelken,,,
253,rigifuss,switzerland,https://de.wikipedia.org/wiki/Greppen?action=raw,ort in der schweiz,,,
254,boll,switzerland,https://de.wikipedia.org/wiki/Timo_Boll?action=raw,deutscher tischtennisspieler,,1981,
255,brunner,switzerland,https://it.wikipedia.org/wiki/Alois_Brunner?action=raw,militare,,,
256,blumenau,switzerland,https://de.wikipedia.org/wiki/Blumenau_(Brasilien)?action=raw,ort in brasilien,,,
257,reisfeld,switzerland,https://en.wikipedia.org/wiki/Renata_Reisfeld?action=raw,scientist,,,
260,geren,switzerland,https://en.wikipedia.org/wiki/Bob_Geren?action=raw,baseball biography,,1961,
262,storchen,switzerland,https://de.wikipedia.org/wiki/St%C3%B6rche?action=raw,störche,,,
263,euel,switzerland,https://fr.wikipedia.org/wiki/Euro?action=raw,monnaie,,,
264,schlosshof,switzerland,https://fr.wikipedia.org/wiki/Ch%C3%A2teau_de_Hof?action=raw,château,,,
268,grafenstein,switzerland,https://de.wikipedia.org/wiki/Grafenstein_(K%C3%A4rnten)?action=raw,gemeinde in österreich,,,
270,heinrich-bosshard-,switzerland,https://de.wikipedia.org/wiki/Heinrich_Bosshard?action=raw,"schweizer lehrer, musiker, dichter, naturforscher und landwirt",,1811,1877
271,hinterdorf,switzerland,https://de.wikipedia.org/wiki/Menzenschwand?action=raw,ortsteil einer gemeinde in deutschland,1974,,
272,neuburg,switzerland,https://de.wikipedia.org/wiki/Neuburg_an_der_Donau?action=raw,gemeinde in deutschland,,,
273,else-züblin-,switzerland,https://de.wikipedia.org/wiki/Else_Z%C3%BCblin-Spiller?action=raw,schweizer journalistin und abstinenzlerin,,1881,1948
274,grüntal,switzerland,https://fr.wikipedia.org/wiki/Gr%C3%BCnwald?action=raw,commune d'allemagne,,,
